Year,SUNY Institution,Sector,All Employees Total ,All Employees Full-Time,All Employees Part-Time,Faculty Total, Faculty Full-Time,Faculty  Part-Time,Professional Employees Non-Faculty  Total,Professional Employees Non-Faculty  Full-Time,Professional Employees Non-Faculty  Part-Time,Other Employees Total,Other Employees Full-Time,Other Employees Part-Time
2015,Cayuga County Community College,Community Colleges,419,145,274,239,53,186,101,55,46,79,37,42
2015,Clinton Community College,Community Colleges,185,114,71,104,48,56,54,42,12,27,24,3
2015,College of Tech & Ag at Cobleskill,Technology Colleges,524,387,137,181,104,77,194,139,55,149,144,5
2015,College of Tech & Ag at Morrisville,Technology Colleges,591,440,151,237,144,93,182,140,42,172,156,16
2015,College of Tech at Alfred,Technology Colleges,611,522,89,225,172,53,185,151,34,201,199,2
2015,College of Tech at Canton,Technology Colleges,552,396,156,227,129,98,199,145,54,126,122,4
2015,College of Tech at Delhi,Technology Colleges,540,396,144,245,149,96,137,113,24,158,134,24
2015,College of Tech at Farmingdale,Technology Colleges,1375,665,710,746,220,526,353,219,134,276,226,50
2015,Columbia-Greene Community College,Community Colleges,251,135,116,97,44,53,80,52,28,74,39,35
2015,Cornell Statutory Colleges,Doctoral Institutions,4387,3398,989,1236,1126,110,2051,1231,820,1100,1041,59
2015,Corning Community College,Community Colleges,456,258,198,229,89,140,107,84,23,120,85,35
2015,Downstate Medical Center,Doctoral Institutions,3850,3522,328,664,503,161,2332,2184,148,854,835,19
2015,Dutchess Community College,Community Colleges,926,342,584,590,127,463,190,111,79,146,104,42
2015,Erie Community College,Community Colleges,1807,784,1023,939,324,615,355,226,129,513,234,279
2015,Fashion Institute of Technology,Community Colleges,1659,778,881,967,229,738,369,289,80,323,260,63
2015,Finger Lakes Community College,Community Colleges,579,330,249,341,119,222,144,123,21,94,88,6
2015,Fulton-Montgomery Community College,Community Colleges,292,159,133,120,54,66,122,55,67,50,50,0
2015,Genesee Community College,Community Colleges,676,297,379,347,89,258,213,122,91,116,86,30
2015,Herkimer County Community College,Community Colleges,315,191,124,135,64,71,85,54,31,95,73,22
2015,Hudson Valley Community College,Community Colleges,1098,596,502,613,229,384,232,159,73,253,208,45
2015,Jamestown Community College,Community Colleges,545,233,312,316,75,241,92,76,16,137,82,55
2015,Jefferson Community College,Community Colleges,446,215,231,251,80,171,126,77,49,69,58,11
2015,Mohawk Valley Community College,Community Colleges,826,423,403,348,140,208,318,159,159,160,124,36
2015,Monroe Community College,Community Colleges,1691,899,792,802,307,495,454,310,144,435,282,153
2015,Nassau Community College,Community Colleges,2452,1084,1368,1474,473,1001,523,287,236,455,324,131
2015,Niagara County Community College,Community Colleges,687,305,382,388,104,284,171,91,80,128,110,18
2015,North Country Community College,Community Colleges,181,94,87,109,40,69,39,34,5,33,20,13
2015,N.Y. State College of Ceramics,Doctoral Institutions,141,128,13,52,45,7,50,44,6,39,39,0
2015,Onondaga Community College,Community Colleges,1342,619,723,650,186,464,441,248,193,251,185,66
2015,Orange County Community College,Community Colleges,1226,425,801,437,153,284,510,147,363,279,125,154
2015,Rockland Community College,Community Colleges,948,393,555,511,110,401,246,135,111,191,148,43
2015,Schenectady County Community College,Community Colleges,561,204,357,283,72,211,170,69,101,108,63,45
2015,State College of Optometry,Doctoral Institutions,348,260,88,129,61,68,122,106,16,97,93,4
2015,S.U. College at Brockport,Comprehensive Colleges,1422,976,446,642,350,292,421,288,133,359,338,21
2015,S.U. College at Buffalo,Comprehensive Colleges,1857,1226,631,849,383,466,576,430,146,432,413,19
2015,S.U. College at Cortland,Comprehensive Colleges,1332,926,406,568,298,270,369,268,101,395,360,35
2015,S.U. College at Fredonia,Comprehensive Colleges,982,674,308,452,251,201,282,193,89,248,230,18
2015,S.U. College at Geneseo,Comprehensive Colleges,910,739,171,350,252,98,265,203,62,295,284,11
2015,S.U. College at New Paltz,Comprehensive Colleges,1481,1021,460,664,360,304,443,309,134,374,352,22
