Year,SUNY Institution,Sector,All Employees Total ,All Employees Full-Time,All Employees Part-Time,Faculty Total, Faculty Full-Time,Faculty  Part-Time,Professional Employees Non-Faculty  Total,Professional Employees Non-Faculty  Full-Time,Professional Employees Non-Faculty  Part-Time,Other Employees Total,Other Employees Full-Time,Other Employees Part-Time
2012,North Country Community College,Community Colleges,154,56,98,133,42,91,21,14,7,0,0,0
2012,N.Y. State College of Ceramics,Doctoral Institutions,160,137,23,56,47,9,63,50,13,41,40,1
2012,Onondaga Community College,Community Colleges,1403,632,771,673,181,492,521,260,261,209,191,18
2012,Orange County Community College,Community Colleges,1116,429,687,442,158,284,354,120,234,320,151,169
2012,Rockland Community College,Community Colleges,899,406,493,522,119,403,182,133,49,195,154,41
2012,Schenectady County Community College,Community Colleges,535,203,332,263,60,203,195,91,104,77,52,25
2012,State College of Optometry,Doctoral Institutions,362,263,99,139,61,78,122,104,18,101,98,3
2012,S.U. College at Brockport,Comprehensive Colleges,1405,968,437,632,346,286,393,271,122,380,351,29
2012,S.U. College at Buffalo,Comprehensive Colleges,1836,1221,615,843,413,430,574,414,160,419,394,25
2012,S.U. College at Cortland,Comprehensive Colleges,1335,891,444,579,278,301,369,255,114,387,358,29
2012,S.U. College at Fredonia,Comprehensive Colleges,1036,684,352,497,256,241,275,184,91,264,244,20
2012,S.U. College at Geneseo,Comprehensive Colleges,912,728,184,354,255,99,252,183,69,306,290,16
2012,S.U. College at New Paltz,Comprehensive Colleges,1399,945,454,651,337,314,387,268,119,361,340,21
2012,S.U. College at Old Westbury,Comprehensive Colleges,641,431,210,317,145,172,184,150,34,140,136,4
2012,S.U. College at Oneonta,Comprehensive Colleges,1142,839,303,473,259,214,336,256,80,333,324,9
2012,S.U. College at Oswego,Comprehensive Colleges,1393,1020,373,575,325,250,362,247,115,456,448,8
2012,S.U. College at Plattsburgh,Comprehensive Colleges,1092,779,313,485,274,211,290,209,81,317,296,21
2012,S.U. College at Potsdam,Comprehensive Colleges,876,722,154,348,249,99,244,202,42,284,271,13
2012,S.U. College at Purchase,Comprehensive Colleges,1019,594,425,421,160,261,336,189,147,262,245,17
2012,Suffolk County Community College,Community Colleges,2444,1055,1389,1629,326,1303,371,355,16,444,374,70
2012,Sullivan County Community College,Community Colleges,209,144,65,109,48,61,52,51,1,48,45,3
2012,SUNY at Albany,Doctoral Institutions,3606,2133,1473,1104,595,509,1679,789,890,823,749,74
2012,SUNY at Binghamton,Doctoral Institutions,3193,1932,1261,841,593,248,1383,524,859,969,815,154
2012,SUNY at Buffalo,Doctoral Institutions,6537,4280,2257,2329,1537,792,2843,1489,1354,1365,1254,111
2012,SUNY at Stony Brook,Doctoral Institutions,11489,8773,2716,2377,1631,746,6582,4856,1726,2530,2286,244
2012,SUNY Coll/Env Sci & Forestry,Doctoral Institutions,581,354,227,156,121,35,283,109,174,142,124,18
2012,SUNY Empire State College,Comprehensive Colleges,1759,708,1051,1181,206,975,216,189,27,362,313,49
2012,SUNY Inst of Tech at Utica/Rome,Technology Colleges,412,254,158,186,76,110,129,86,43,97,92,5
2012,SUNY Maritime College,Technology Colleges,337,269,68,137,104,33,111,88,23,89,77,12
2012,System Administration,SUNY System,536,455,81,5,0,5,366,339,27,165,116,49
2012,Tompkins-Cortland Community College,Community Colleges,509,250,259,317,68,249,92,88,4,100,94,6
2012,Ulster County Community College,Community Colleges,473,189,284,291,65,226,60,51,9,122,73,49
2012,Upstate Medical Center,Doctoral Institutions,6607,5159,1448,627,402,225,4389,3444,945,1591,1313,278
2012,Westchester Community College,Community Colleges,1917,524,1393,1501,165,1336,278,225,53,138,134,4
2011,Adirondack Community College,Community Colleges,415,202,213,276,89,187,70,54,16,69,59,10
2011,Broome Community College,Community Colleges,776,402,374,457,170,287,118,97,21,201,135,66
2011,Cayuga County Community College,Community Colleges,503,197,306,277,60,217,121,82,39,105,55,50
2011,Clinton Community College,Community Colleges,302,136,166,179,53,126,40,37,3,83,46,37
2011,College of Tech & Ag at Cobleskill,Technology Colleges,447,362,85,170,97,73,131,128,3,146,137,9
2011,College of Tech & Ag at Morrisville,Technology Colleges,585,416,169,244,140,104,180,118,62,161,158,3
2011,College of Tech at Alfred,Technology Colleges,589,521,68,217,179,38,162,144,18,210,198,12
2011,College of Tech at Canton,Technology Colleges,513,339,174,206,116,90,141,117,24,166,106,60
2011,College of Tech at Delhi,Technology Colleges,504,354,150,215,119,96,160,124,36,129,111,18
2011,College of Tech at Farmingdale,Technology Colleges,1113,580,533,604,207,397,226,169,57,283,204,79
2011,Columbia-Greene Community College,Community Colleges,292,144,148,135,49,86,40,36,4,117,59,58
2011,Cornell Statutory Colleges,Doctoral Institutions,4543,3428,1115,1372,1254,118,1736,863,873,1435,1311,124
2011,Corning Community College,Community Colleges,563,312,251,253,99,154,97,86,11,213,127,86
2011,Downstate Medical Center,Doctoral Institutions,5099,4551,548,931,669,262,3055,2799,256,1113,1083,30
2011,Dutchess Community College,Community Colleges,833,351,482,491,135,356,105,68,37,237,148,89
2011,Erie Community College,Community Colleges,1747,763,984,946,327,619,270,192,78,531,244,287
2011,Fashion Institute of Technology,Community Colleges,1676,764,912,977,239,738,231,189,42,468,336,132
2011,Finger Lakes Community College,Community Colleges,622,320,302,402,120,282,76,73,3,144,127,17
2011,Fulton-Montgomery Community College,Community Colleges,331,163,168,193,59,134,69,47,22,69,57,12
2011,Genesee Community College,Community Colleges,715,307,408,375,83,292,186,129,57,154,95,59
2011,Herkimer County Community College,Community Colleges,370,226,144,169,73,96,95,74,21,106,79,27
2011,Hudson Valley Community College,Community Colleges,1163,635,528,707,267,440,183,141,42,273,227,46
2011,Jamestown Community College,Community Colleges,588,228,360,378,84,294,75,60,15,135,84,51
2011,Jefferson Community College,Community Colleges,430,222,208,228,83,145,83,60,23,119,79,40
2011,Mohawk Valley Community College,Community Colleges,890,433,457,421,144,277,297,142,155,172,147,25
2011,Monroe Community College,Community Colleges,1803,931,872,954,329,625,341,261,80,508,341,167
2011,Nassau Community College,Community Colleges,2503,1160,1343,1463,556,907,397,204,193,643,400,243
2011,Niagara County Community College,Community Colleges,696,297,399,417,107,310,91,57,34,188,133,55
2011,North Country Community College,Community Colleges,179,91,88,111,37,74,31,31,0,37,23,14
2011,N.Y. State College of Ceramics,Doctoral Institutions,156,135,21,57,48,9,22,22,0,77,65,12
2011,Onondaga Community College,Community Colleges,1093,571,522,660,175,485,196,177,19,237,219,18
2011,Orange County Community College,Community Colleges,1260,439,821,544,160,384,391,133,258,325,146,179
2011,Rockland Community College,Community Colleges,1042,407,635,694,118,576,111,111,0,237,178,59
2011,Schenectady County Community College,Community Colleges,485,198,287,251,59,192,166,82,84,68,57,11
2011,State College of Optometry,Doctoral Institutions,364,255,109,142,56,86,131,109,22,91,90,1
2011,S.U. College at Brockport,Comprehensive Colleges,1364,945,419,618,350,268,428,303,125,318,292,26
2011,S.U. College at Buffalo,Comprehensive Colleges,1765,1163,602,811,403,408,527,409,118,427,351,76
2011,S.U. College at Cortland,Comprehensive Colleges,1339,880,459,571,285,286,381,262,119,387,333,54
2011,S.U. College at Fredonia,Comprehensive Colleges,1006,659,347,485,255,230,227,176,51,294,228,66
2011,S.U. College at Geneseo,Comprehensive Colleges,896,688,208,351,240,111,285,201,84,260,247,13
2011,S.U. College at New Paltz,Comprehensive Colleges,1359,914,445,615,313,302,391,268,123,353,333,20
2011,S.U. College at Old Westbury,Comprehensive Colleges,628,420,208,308,136,172,175,150,25,145,134,11
2011,S.U. College at Oneonta,Comprehensive Colleges,1128,817,311,471,250,221,338,263,75,319,304,15
2011,S.U. College at Oswego,Comprehensive Colleges,1385,1001,384,562,313,249,351,253,98,472,435,37
2011,S.U. College at Plattsburgh,Comprehensive Colleges,1060,737,323,479,272,207,278,200,78,303,265,38
2011,S.U. College at Potsdam,Comprehensive Colleges,868,677,191,359,244,115,240,199,41,269,234,35
2011,S.U. College at Purchase,Comprehensive Colleges,963,581,382,391,169,222,317,249,68,255,163,92
2011,Suffolk County Community College,Community Colleges,2902,1037,1865,1660,313,1347,432,361,71,810,363,447
2011,Sullivan County Community College,Community Colleges,222,151,71,113,50,63,68,64,4,41,37,4
2011,SUNY at Albany,Doctoral Institutions,3554,2059,1495,1076,591,485,1676,771,905,802,697,105
2011,SUNY at Binghamton,Doctoral Institutions,3094,1825,1269,825,571,254,1467,666,801,802,588,214
2011,SUNY at Buffalo,Doctoral Institutions,6294,4120,2174,2230,1537,693,2888,1516,1372,1176,1067,109
2011,SUNY at Stony Brook,Doctoral Institutions,11654,8715,2939,2273,1563,710,6320,4552,1768,3061,2600,461
2011,SUNY Coll/Env Sci & Forestry,Doctoral Institutions,591,352,239,158,121,37,299,120,179,134,111,23
2011,SUNY Empire State College,Comprehensive Colleges,1761,717,1044,1176,204,972,336,292,44,249,221,28
2011,SUNY Inst of Tech at Utica/Rome,Technology Colleges,417,255,162,184,77,107,139,89,50,94,89,5
2011,SUNY Maritime College,Technology Colleges,349,265,84,139,97,42,128,100,28,82,68,14
2011,System Administration,SUNY System,498,421,77,3,0,3,344,321,23,151,100,51
2011,Tompkins-Cortland Community College,Community Colleges,536,251,285,347,68,279,81,80,1,108,103,5
2011,Ulster County Community College,Community Colleges,405,188,217,206,65,141,102,64,38,97,59,38
2011,Upstate Medical Center,Doctoral Institutions,6552,5130,1422,615,377,238,3918,3099,819,2019,1654,365
2011,Westchester Community College,Community Colleges,1383,523,860,1048,209,839,142,137,5,193,177,16
